vip,result,detail
UEC-VIP,SKIP,net_dut:SKIP(compile: unsupported SV (see smoke.log)); net_dut_channel:SKIP(compile: unsupported SV (see smoke.log))
UFS-VIP,PASS,unipro_endpoint_dut:PASS(x_hits=0 toggles=4274); emmc_device_dut:PASS(x_hits=0 toggles=1470); onfi_flash_dut:PASS(x_hits=0 toggles=1); ufs_device_dut:SKIP(compile: unsupported SV (see smoke.log))
USB-VIP,SKIP,usb_dut:SKIP(interface usb2_if passed through to submodule); usb2_dev_ep:SKIP(interface vif passed through to submodule); usb3_phy_model:SKIP(interface vif passed through to submodule); usb4_phy_model:SKIP(interface vif passed through to submodule); pd_controller_model:SKIP(interface vif passed through to submodule)
USB2-VIP,SKIP,usb_dut:SKIP(interface usb2_if passed through to submodule); usb2_dev_ep:SKIP(interface vif passed through to submodule); usb3_phy_model:SKIP(interface vif passed through to submodule); usb4_phy_model:SKIP(interface vif passed through to submodule); pd_controller_model:SKIP(interface vif passed through to submodule)
USB3-VIP,SKIP,usb_dut:SKIP(interface usb2_if passed through to submodule); usb2_dev_ep:SKIP(interface vif passed through to submodule); usb3_phy_model:SKIP(interface vif passed through to submodule); usb4_phy_model:SKIP(interface vif passed through to submodule); pd_controller_model:SKIP(interface vif passed through to submodule)
USB4-VIP,SKIP,usb_dut:SKIP(interface usb2_if passed through to submodule); usb2_dev_ep:SKIP(interface vif passed through to submodule); usb3_phy_model:SKIP(interface vif passed through to submodule); usb4_phy_model:SKIP(interface vif passed through to submodule); pd_controller_model:SKIP(interface vif passed through to submodule)
USB_PD-VIP,SKIP,usb_dut:SKIP(interface usb2_if passed through to submodule); usb2_dev_ep:SKIP(interface vif passed through to submodule); usb3_phy_model:SKIP(interface vif passed through to submodule); usb4_phy_model:SKIP(interface vif passed through to submodule); pd_controller_model:SKIP(interface vif passed through to submodule)
UniPro-VIP,SKIP,mipi_dut:SKIP(compile: unsupported SV (see smoke.log))
UniPro_Mem-VIP,PASS,unipro_endpoint_dut:PASS(x_hits=0 toggles=4979); emmc_device_dut:PASS(x_hits=0 toggles=1470); onfi_flash_dut:PASS(x_hits=0 toggles=1); ufs_device_dut:PASS(x_hits=0 toggles=2199)
ddr5-VIP,SKIP,ddr5_mem_model:SKIP(compile: unsupported SV (see smoke.log))
ddr6-VIP,SKIP,ddr6_mem_model:SKIP(compile: unsupported SV (see smoke.log))
ddr7-VIP,SKIP,ddr7_mem_model:SKIP(compile: unsupported SV (see smoke.log))
eCPRI-VIP,SKIP,ecpri_endpoint_dut:SKIP(compile: unsupported SV (see smoke.log))
eMMC-VIP,PASS,unipro_endpoint_dut:PASS(x_hits=0 toggles=4274); emmc_device_dut:SKIP(compile: unsupported SV (see smoke.log)); onfi_flash_dut:PASS(x_hits=0 toggles=1); ufs_device_dut:SKIP(compile: unsupported SV (see smoke.log))
eUSB2-VIP,SKIP,usb_dut:SKIP(interface usb2_if passed through to submodule); usb2_dev_ep:SKIP(interface vif passed through to submodule); usb3_phy_model:SKIP(interface vif passed through to submodule); usb4_phy_model:SKIP(interface vif passed through to submodule); pd_controller_model:SKIP(interface vif passed through to submodule)
gddr5-VIP,SKIP,gddr5_mem_model:SKIP(compile: unsupported SV (see smoke.log))
gddr6-VIP,SKIP,gddr6_mem_model:SKIP(compile: unsupported SV (see smoke.log))
gddr7-VIP,SKIP,gddr7_mem_model:SKIP(compile: unsupported SV (see smoke.log))
hbm2-VIP,SKIP,hbm2_mem_model:SKIP(compile: unsupported SV (see smoke.log))
hbm3-VIP,SKIP,hbm3_mem_model:SKIP(compile: unsupported SV (see smoke.log))
hbm3e-VIP,SKIP,hbm3e_mem_model:SKIP(compile: unsupported SV (see smoke.log))
hbm4-VIP,SKIP,hbm4_mem_model:SKIP(compile: unsupported SV (see smoke.log))
lpddr5-VIP,SKIP,lpddr5_mem_model:SKIP(compile: unsupported SV (see smoke.log))
lpddr5x-VIP,PASS,lpddr5x_mem_model:PASS(x_hits=0 toggles=0)
lpddr6-VIP,PASS,lpddr6_mem_model:PASS(x_hits=0 toggles=0)
lpddr7-VIP,PASS,lpddr7_mem_model:PASS(x_hits=0 toggles=0)
